what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1315779852149
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1315779855708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779855983
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779857237
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1315779866333
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1315779868300
opened,editor,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1315779868472
activated,editor,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1315779868529
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1315779868629
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1315779875684
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1315779876755
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1315779880491
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1315779881692
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1315779886118
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1315779886200
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779887615
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779888812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779891716
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779892868
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1315779903217
activated,editor,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1315779903223
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1315779903285
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1315779903285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779909026
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779911056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779911740
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779912566
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1315779913661
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1315779916849
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1315779925910
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779926577
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779929857
closed,editor,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1315779930019
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1315779936684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779938707
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779945227
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779945673
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1315779947825
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779948120
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1315779951267
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.BreakpointView",1315779954605
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1315779959378
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1315779959468
opened,editor,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1315779960350
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.VariableView",1315779963236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779972090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779975867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779984559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315779989509
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.commands.AddExceptionBreakpoint",1315779989580
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1315780004673
activated,editor,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1315780004681
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1315780004754
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1315780004754
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1315780008756
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1315780018871
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780025541
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780033151
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1315780034509
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780034901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780040110
closed,editor,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1315780040299
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1315780042957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780050237
